Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
290,245,114687,JPN,M,ARINOBU Taimu,1239,1539,1,0,2019
292,289,117003,FRA,M,CASSIN Alexandre,1236,1236,1,0,2019
293,290,123478,IRI,M,AHMADIAN Amin,1228,1228,1,0,2019
294,291,113340,JPN,M,TAZOE Kenta,1217,1217,1,0,2019
295,293,120314,RUS,M,ABUSEV Artur,1210,1210,1,0,2019
296,294,112445,FRA,M,BROSSIER Benjamin,1209,1209,1,0,2019
297,295,111033,JPN,M,MATSUDAIRA Kenji,1207,1207,1,0,2019
298,296,120698,NZL,M,DELA PENA Alfred,1203,1203,1,0,2019
299,297,101674,AUT,M,CHEN Weixing,1200,1200,1,0,2019
299,297,110002,POL,M,WANG Zengyi,1200,1200,1,0,2019
301,299,122727,TPE,M,FENG Yi-Hsin,1187,1187,1,0,2019
302,301,122067,ITA,M,AMATO Antonino,1166,1166,1,0,2019
303,302,101879,RSA,M,COGILL Theo,1165,1165,1,0,2019
303,302,115212,RSA,M,MATHOLE Terrence,1165,1165,1,0,2019
305,304,115063,SWE,M,BERGLUND Simon,1149,1149,1,0,2019
306,305,106542,HUN,M,NAGY Krisztian,1145,1145,1,0,2019
307,306,117336,JPN,M,JIN Takuya,1137,1137,1,0,2019
308,307,101747,KOR,M,CHO Eonrae,1131,1131,1,0,2019
309,308,117006,ITA,M,PICCOLIN Jordy,1129,1129,1,0,2019
310,309,123935,FIJ,M,WU Vicky,1128,1128,1,0,2019
311,310,123148,NGR,M,FALANA Tobi,1126,1126,1,0,2019
312,311,133319,AZE,M,YANG Xinyu,1125,1125,1,0,2019
313,312,121577,TPE,M,LI Hsin-Yang,1123,1123,1,0,2019
314,313,101039,PYF,M,BELROSE Alize,1118,1118,1,0,2019
314,313,133613,PYF,M,CARNET Bydhir,1118,1118,1,0,2019
316,315,112738,SWE,M,ANDERSSON Harald,1102,1102,1,0,2019
317,316,117894,KAZ,M,ZHOLUDEV Denis,1099,1099,1,0,2019
318,318,115142,PER,M,RODRIGUEZ Diego,1095,1095,1,0,2019
319,319,135675,ITA,M,CHEN ^^ Shuainan,1082,1082,1,0,2019
